GEOID,1984,1984 Euros,1984 Pounds
04000US01,17310,15752.1,13848.0
04000US02,32356,29443.960000000003,25884.800000000003
04000US04,21425,19496.75,17140.0
04000US05,15674,14263.34,12539.2
04000US06,25287,23011.170000000002,20229.600000000002
04000US08,25801,23478.91,20640.800000000003
04000US09,29951,27255.41,23960.800000000003
04000US10,25819,23495.29,20655.2
04000US12,19785,18004.350000000002,15828.0
04000US13,19984,18185.440000000002,15987.2
04000US15,28877,26278.07,23101.600000000002
04000US16,21092,19193.72,16873.600000000002
04000US17,23752,21614.32,19001.600000000002
04000US18,22770,20720.7,18216.0
04000US19,19863,18075.33,15890.400000000001
04000US20,24629,22412.39,19703.2
04000US21,17680,16088.800000000001,14144.0
04000US22,18949,17243.59,15159.2
04000US23,20648,18789.68,16518.4
04000US24,29708,27034.280000000002,23766.4
04000US25,26959,24532.690000000002,21567.2
04000US26,22965,20898.15,18372.0
04000US27,24436,22236.760000000002,19548.8
04000US28,15430,14041.300000000001,12344.0
04000US29,20775,18905.25,16620.0
04000US30,19536,17777.760000000002,15628.800000000001
04000US31,21397,19471.27,17117.600000000002
04000US32,25776,23456.16,20620.800000000003
04000US33,25914,23581.74,20731.2
04000US34,27776,25276.16,22220.800000000003
04000US35,20630,18773.3,16504.0
04000US36,22027,20044.57,17621.600000000002
04000US37,20569,18717.79,16455.2
04000US38,20771,18901.61,16616.8
04000US39,23123,21041.93,18498.4
04000US40,21148,19244.68,16918.4
04000US41,21399,19473.09,17119.2
04000US42,20346,18514.86,16276.800000000001
04000US44,21612,19666.920000000002,17289.600000000002
04000US45,20309,18481.190000000002,16247.2
04000US46,19409,17662.190000000002,15527.2
04000US47,16782,15271.62,13425.6
04000US48,23024,20951.84,18419.2
04000US49,23057,20981.87,18445.600000000002
04000US50,22578,20545.98,18062.4
04000US51,26525,24137.75,21220.0
04000US53,25017,22765.47,20013.600000000002
04000US54,16843,15327.130000000001,13474.400000000001
04000US55,20743,18876.13,16594.4
04000US56,23816,21672.56,19052.8
